Token|Position
{|0
@|0
first|0
:|0
 |0
int|0
;|0
@|0
second|1
:|0
 |0
int|0
;|0
@|0
third|2
:|0
 |0
int|0
;|0
@|0
smallest|3
:|0
 |0
int|0
;|0
>>|0
first|0
;|0
>>|0
second|1
;|0
>>|0
third|2
;|0
if|0
 |0
first|0
 |0
<=|0
 |0
second|1
 |0
&&|0
first|0
<=|0
 |0
 |0
 |0
third|2
 |0
{|0
smallest|3
 |0
=|0
 |0
first|0
;|0
}|0
 |0
else|0
 |0
if|0
 |0
second|1
 |0
<=|0
 |0
first|0
 |0
&&|0
second|1
<=|0
 |0
 |0
 |0
third|2
 |0
{|0
smallest|3
 |0
=|0
 |0
second|1
;|0
}|0
 |0
else|0
 |0
{|0
smallest|3
 |0
=|0
 |0
third|2
;|0
}|0
<<|0
smallest|3
;|0
}|0
